in s,C1 in V
-5.9398042E-02,3.11816E+00
-5.9397120E-02,3.14746E+00
-5.9396198E-02,3.10840E+00
-5.9395277E-02,3.14746E+00
-5.9394355E-02,3.12793E+00
-5.9393434E-02,3.09863E+00
-5.9392512E-02,3.09863E+00
-5.9391590E-02,3.13770E+00
-5.9390669E-02,3.10840E+00
-5.9389747E-02,3.10840E+00
-5.9388826E-02,3.12793E+00
-5.9387904E-02,3.10840E+00
-5.9386982E-02,3.07910E+00
-5.9386061E-02,3.05957E+00
-5.9385139E-02,3.09863E+00
-5.9384218E-02,3.07910E+00
-5.9383296E-02,3.07910E+00
-5.9382374E-02,3.08887E+00
-5.9381453E-02,3.07910E+00
-5.9380531E-02,3.07910E+00
-5.9379610E-02,3.06934E+00
-5.9378688E-02,3.05957E+00
-5.9377766E-02,3.07910E+00
-5.9376845E-02,3.06934E+00
-5.9375923E-02,3.07910E+00
-5.9375002E-02,3.04004E+00
-5.9374080E-02,3.04004E+00
-5.9373158E-02,3.04980E+00
-5.9372237E-02,3.06934E+00
-5.9371315E-02,3.02051E+00
-5.9370394E-02,3.03027E+00
-5.9369472E-02,3.01074E+00
-5.9368550E-02,3.04004E+00
-5.9367629E-02,3.02051E+00
-5.9366707E-02,3.06934E+00
-5.9365786E-02,3.04004E+00
-5.9364864E-02,3.01074E+00
-5.9363942E-02,3.04980E+00
-5.9363021E-02,3.01074E+00
-5.9362099E-02,3.02051E+00
-5.9361178E-02,3.01074E+00
-5.9360256E-02,3.02051E+00
-5.9359334E-02,3.03027E+00
-5.9358413E-02,3.01074E+00
-5.9357491E-02,3.02051E+00
-5.9356570E-02,2.99121E+00
-5.9355648E-02,3.01074E+00
-5.9354726E-02,2.99121E+00
-5.9353805E-02,3.00098E+00
-5.9352883E-02,2.98145E+00
-5.9351962E-02,2.97168E+00
-5.9351040E-02,2.96191E+00
-5.9350118E-02,2.95215E+00
-5.9349197E-02,3.00098E+00
-5.9348275E-02,2.97168E+00
-5.9347354E-02,2.94238E+00
-5.9346432E-02,2.93262E+00
-5.9345510E-02,2.94238E+00
-5.9344589E-02,2.99121E+00
-5.9343667E-02,2.95215E+00
-5.9342746E-02,2.95215E+00
-5.9341824E-02,2.92285E+00
-5.9340902E-02,2.92285E+00
-5.9339981E-02,2.91309E+00
-5.9339059E-02,2.86426E+00
-5.9338138E-02,2.91309E+00
-5.9337216E-02,2.93262E+00
-5.9336294E-02,2.94238E+00
-5.9335373E-02,2.95215E+00
-5.9334451E-02,2.93262E+00
-5.9333530E-02,2.93262E+00
-5.9332608E-02,2.91309E+00
-5.9331686E-02,2.88379E+00
-5.9330765E-02,2.92285E+00
-5.9329843E-02,2.86426E+00
-5.9328922E-02,2.91309E+00
-5.9328000E-02,2.89355E+00
-5.9327078E-02,2.86426E+00
-5.9326157E-02,2.90332E+00
-5.9325235E-02,2.88379E+00
-5.9324314E-02,2.87402E+00
-5.9323392E-02,2.85449E+00
-5.9322470E-02,2.87402E+00
-5.9321549E-02,2.86426E+00
-5.9320627E-02,2.89355E+00
-5.9319706E-02,2.83496E+00
-5.9318784E-02,2.85449E+00
-5.9317862E-02,2.85449E+00
-5.9316941E-02,2.85449E+00
-5.9316019E-02,2.83496E+00
-5.9315098E-02,2.83496E+00
-5.9314176E-02,2.90332E+00
-5.9313254E-02,2.82520E+00
-5.9312333E-02,2.79590E+00
-5.9311411E-02,2.78613E+00
-5.9310490E-02,2.82520E+00
-5.9309568E-02,2.82520E+00
-5.9308646E-02,2.84473E+00
-5.9307725E-02,2.81543E+00
-5.9306803E-02,2.79590E+00
-5.9305882E-02,2.85449E+00
-5.9304960E-02,2.84473E+00
-5.9304038E-02,2.79590E+00
-5.9303117E-02,2.80566E+00
-5.9302195E-02,2.80566E+00
-5.9301274E-02,2.81543E+00
-5.9300352E-02,2.81543E+00
-5.9299430E-02,2.79590E+00
-5.9298509E-02,2.79590E+00
-5.9297587E-02,2.80566E+00
-5.9296666E-02,2.78613E+00
-5.9295744E-02,2.80566E+00
-5.9294822E-02,2.79590E+00
-5.9293901E-02,2.75684E+00
-5.9292979E-02,2.75684E+00
-5.9292058E-02,2.78613E+00
-5.9291136E-02,2.77637E+00
-5.9290214E-02,2.75684E+00
-5.9289293E-02,2.77637E+00
-5.9288371E-02,2.74707E+00
-5.9287450E-02,2.75684E+00
